id,atlas_label,nd_region,network,name_alt,nd_region_back
148,148_248_Right_Thalamus_Pulvinar_Nucleus_Anterior,ThPA_R,Thalamus,ThPA_R,Thal_PuA_R
149,149_184_Left_Thalamus_Pulvinar_Nucleus_Lateral,ThPL_L,Thalamus,ThPL_L,Thal_PuL_L
150,150_192_Right_Thalamus_Pulvinar_Nucleus_Lateral,ThPL_R,Thalamus,ThPL_R,Thal_PuL_R
151,151_1344_Left_Anterior_Cingulate_Cortex_Subgenual,ACCsub_L,Default mode network,ACCsub_L,ACC_sub_L
152,152_1056_Right_Anterior_Cingulate_Cortex_Subgenual,ACCsub_R,Default mode network,ACCsub_R,ACC_sub_R
153,153_5016_Left_Anterior_Cingulate_Cortex_Pregenual,ACCpre_L,Default mode network,ACCpre_L,ACC_pre_L
154,154_5184_Right_Anterior_Cingulate_Cortex_Pregenual,ACCpre_R,Default mode network,ACCpre_R,ACC_pre_R
155,155_4840_Right_Anterior_Cingulate_Cortex_Superior,ACCsup_L,Salience network,ACCsup_L,ACC_sup_L
156,156_4264_Right_Anterior_Cingulate_Cortex_Superior,ACCsup_R,Salience network,ACCsup_R,ACC_sup_R
157,157_1304_Left_Nucleus_Accumbens,NACC_L,Basal ganglia network,NACC_L,N_Acc_L
158,158_1144_Right_Nucleus_Accumbens,NACC_R,Basal ganglia network,NACC_R,N_Acc_R
159,159_80_Left_Ventral_Tegmental_Area,VTA_L,Brain stem,VTA_L,VTA_L
160,160_72_Right_Tegmental_Area,VTA_R,Brain stem,VTA_R,VTA_R
161,161_256_Left_Substancia_Nigra_Pars_Compacta,SNc_L,Brain stem,SNc_L,SN_pc_L
162,162_264_Right_Substantia_Nigra_Pars_Compacta,SNc_R,Brain stem,SNc_R,SN_pc_R
163,163_424_Left_Substantia_Nigra_Pars_Reticulata,SNr_L,Brain stem,SNr_L,SN_pr_L
164,164_480_Right_Substantia_Nigra_Pars_Reticulata,SNr_R,Brain stem,SNr_R,SN_pr_R
165,165_456_Left_Red_Nucleus,RN_L,Brain stem,RN_L,Red_N_L
166,166_464_Right_Red_Nucleus,RN_R,Brain stem,RN_R,Red_N_R
167,167_24_Locus_Coeruleus,LC_L,Brain stem,LC_L,LC_L
168,168_40_Locus_Coeruleus,LC_R,Brain stem,LC_R,LC_R
169,169_144_Raphe_Dorsal,RapheD,Brain stem,RapheD,Raphe_D
170,170_48_Raphe_Median,RapheM,Brain stem,RapheM,Raphe_M
